Sub;Stimulation;Type;Choice;Rating;Evaluation
4;sham;Computer;Rejected;R2;5.971428571
5;sham;Computer;Rejected;R2;6.318181818
6;sham;Computer;Rejected;R2;6.045454545
7;sham;Computer;Rejected;R2;6.818181818
8;sham;Computer;Rejected;R2;7
9;sham;Computer;Rejected;R2;6.490566038
10;sham;Computer;Rejected;R2;5
11;sham;Computer;Rejected;R2;5.72
12;sham;Computer;Rejected;R2;5.7
13;sham;Computer;Rejected;R2;5.3
14;sham;Computer;Rejected;R2;6.19047619
15;sham;Computer;Rejected;R2;7.636363636
16;sham;Computer;Rejected;R2;4.176470588
17;sham;Computer;Rejected;R2;5.35483871
1;sham;Post-Ex;Rejected;R2;5.5
2;sham;Post-Ex;Rejected;R2;5.1875
3;sham;Post-Ex;Rejected;R2;4.875
4;sham;Post-Ex;Rejected;R2;5.771428571
5;sham;Post-Ex;Rejected;R2;5.931818182
6;sham;Post-Ex;Rejected;R2;5.863636364
7;sham;Post-Ex;Rejected;R2;6.363636364
8;sham;Post-Ex;Rejected;R2;6.955882353
9;sham;Post-Ex;Rejected;R2;6.301886792
10;sham;Post-Ex;Rejected;R2;4.904761905
11;sham;Post-Ex;Rejected;R2;5.64
12;sham;Post-Ex;Rejected;R2;5.375
13;sham;Post-Ex;Rejected;R2;4.95
14;sham;Post-Ex;Rejected;R2;5.80952381
15;sham;Post-Ex;Rejected;R2;6.272727273
16;sham;Post-Ex;Rejected;R2;4.117647059
17;sham;Post-Ex;Rejected;R2;5.387096774
1;tDCS_cat;Difficult;Selected;R1;6.578947368
2;tDCS_cat;Difficult;Selected;R1;5.923076923
3;tDCS_cat;Difficult;Selected;R1;6.272727273
4;tDCS_cat;Difficult;Selected;R1;6
5;tDCS_cat;Difficult;Selected;R1;6.3125
6;tDCS_cat;Difficult;Selected;R1;6.535714286
7;tDCS_cat;Difficult;Selected;R1;7
8;tDCS_cat;Difficult;Selected;R1;7.628571429
9;tDCS_cat;Difficult;Selected;R1;6.692307692
10;tDCS_cat;Difficult;Selected;R1;5.346153846
11;tDCS_cat;Difficult;Selected;R1;7.482758621
12;tDCS_cat;Difficult;Selected;R1;6.192307692
13;tDCS_cat;Difficult;Selected;R1;6.137931034
14;tDCS_cat;Difficult;Selected;R1;6.333333333
15;tDCS_cat;Difficult;Selected;R1;7.619047619
16;tDCS_cat;Difficult;Selected;R1;6.736842105
17;tDCS_cat;Difficult;Selected;R1;6.448275862
1;tDCS_cat;Easy;Selected;R1;5.727272727
2;tDCS_cat;Easy;Selected;R1;6.541666667
3;tDCS_cat;Easy;Selected;R1;5.96
4;tDCS_cat;Easy;Selected;R1;7.058823529
5;tDCS_cat;Easy;Selected;R1;5.125
6;tDCS_cat;Easy;Selected;R1;6.538461538
7;tDCS_cat;Easy;Selected;R1;7.069767442
8;tDCS_cat;Easy;Selected;R1;7.772727273
9;tDCS_cat;Easy;Selected;R1;6.815789474
10;tDCS_cat;Easy;Selected;R1;6.6
11;tDCS_cat;Easy;Selected;R1;7.621621622
12;tDCS_cat;Easy;Selected;R1;6.333333333
13;tDCS_cat;Easy;Selected;R1;6.277777778
14;tDCS_cat;Easy;Selected;R1;6.666666667
15;tDCS_cat;Easy;Selected;R1;7.315789474
16;tDCS_cat;Easy;Selected;R1;6.111111111
17;tDCS_cat;Easy;Selected;R1;6.2
1;tDCS_cat;Computer;Selected;R1;6.285714286
2;tDCS_cat;Computer;Selected;R1;6.35
3;tDCS_cat;Computer;Selected;R1;5.875
4;tDCS_cat;Computer;Selected;R1;5.836734694
5;tDCS_cat;Computer;Selected;R1;6.65
6;tDCS_cat;Computer;Selected;R1;6.266666667
7;tDCS_cat;Computer;Selected;R1;6.75862069
8;tDCS_cat;Computer;Selected;R1;7.566037736
9;tDCS_cat;Computer;Selected;R1;6.829268293
10;tDCS_cat;Computer;Selected;R1;5.333333333
11;tDCS_cat;Computer;Selected;R1;7.434782609
12;tDCS_cat;Computer;Selected;R1;5.777777778
13;tDCS_cat;Computer;Selected;R1;5.842105263
14;tDCS_cat;Computer;Selected;R1;6.095238095
15;tDCS_cat;Computer;Selected;R1;8
16;tDCS_cat;Computer;Selected;R1;7.04
17;tDCS_cat;Computer;Selected;R1;6.285714286
1;tDCS_cat;Post-Ex;Selected;R1;6.333333333
2;tDCS_cat;Post-Ex;Selected;R1;6.3
3;tDCS_cat;Post-Ex;Selected;R1;5.875
4;tDCS_cat;Post-Ex;Selected;R1;5.948979592
5;tDCS_cat;Post-Ex;Selected;R1;6.725
6;tDCS_cat;Post-Ex;Selected;R1;6.233333333
7;tDCS_cat;Post-Ex;Selected;R1;6.862068966
8;tDCS_cat;Post-Ex;Selected;R1;7.603773585
9;tDCS_cat;Post-Ex;Selected;R1;6.841463415
10;tDCS_cat;Post-Ex;Selected;R1;5.361111111
11;tDCS_cat;Post-Ex;Selected;R1;7.456521739
12;tDCS_cat;Post-Ex;Selected;R1;5.777777778
13;tDCS_cat;Post-Ex;Selected;R1;5.868421053
14;tDCS_cat;Post-Ex;Selected;R1;6.238095238
15;tDCS_cat;Post-Ex;Selected;R1;8
16;tDCS_cat;Post-Ex;Selected;R1;7.06
17;tDCS_cat;Post-Ex;Selected;R1;6.339285714
1;tDCS_cat;Difficult;Rejected;R1;6.473684211
2;tDCS_cat;Difficult;Rejected;R1;5.846153846
3;tDCS_cat;Difficult;Rejected;R1;5.863636364
4;tDCS_cat;Difficult;Rejected;R1;5.837209302
5;tDCS_cat;Difficult;Rejected;R1;5.875
6;tDCS_cat;Difficult;Rejected;R1;6.357142857
7;tDCS_cat;Difficult;Rejected;R1;6.620689655
